"","Indicator","ParentLocation","Location","FactValueNumeric","SDG"
"SDG3.c_1.74","Medical doctors (per 10,000)","Europe","Czechia",40.19,"SDG3.c_1"
"SDG3.c_1.75","Medical doctors (per 10,000)","Europe","Germany",41.94,"SDG3.c_1"
"SDG3.c_1.76","Medical doctors (per 10,000)","Europe","Switzerland",42.47,"SDG3.c_1"
"SDG3.c_1.77","Medical doctors (per 10,000)","Europe","Sweden",42.69,"SDG3.c_1"
"SDG3.c_1.78","Medical doctors (per 10,000)","Europe","Russian Federation",42.82,"SDG3.c_1"
"SDG3.c_1.79","Medical doctors (per 10,000)","Europe","Lithuania",44.34,"SDG3.c_1"
"SDG3.c_1.80","Medical doctors (per 10,000)","Europe","Norway",44.98,"SDG3.c_1"
"SDG3.c_1.81","Medical doctors (per 10,000)","Europe","Finland",45.34,"SDG3.c_1"
"SDG3.c_1.82","Medical doctors (per 10,000)","Americas","Chile",45.88,"SDG3.c_1"
"SDG3.c_1.83","Medical doctors (per 10,000)","Americas","Mexico",46.49,"SDG3.c_1"
"SDG3.c_1.84","Medical doctors (per 10,000)","Europe","Portugal",49.4,"SDG3.c_1"
"SDG3.c_1.85","Medical doctors (per 10,000)","Americas","Honduras",5.98,"SDG3.c_1"
"SDG3.c_1.86","Medical doctors (per 10,000)","Europe","Austria",51.23,"SDG3.c_1"
"SDG3.c_1.87","Medical doctors (per 10,000)","Europe","United Kingdom of Great Britain and Northern Ireland",55.1,"SDG3.c_1"
"SDG3.c_1.88","Medical doctors (per 10,000)","Europe","Georgia",59.97,"SDG3.c_1"
"SDG3.c_1.89","Medical doctors (per 10,000)","South-East Asia","Myanmar",6.2,"SDG3.c_1"
"SDG3.c_1.90","Medical doctors (per 10,000)","Europe","Greece",62.15,"SDG3.c_1"
"SDG3.c_1.91","Medical doctors (per 10,000)","Europe","France",64.75,"SDG3.c_1"
"SDG3.c_1.92","Medical doctors (per 10,000)","Europe","Israel",67.14,"SDG3.c_1"
"SDG3.c_1.93","Medical doctors (per 10,000)","South-East Asia","India",7.59,"SDG3.c_1"
"SDG3.c_1.94","Medical doctors (per 10,000)","Africa","South Africa",7.68,"SDG3.c_1"
"SDG3.c_1.95","Medical doctors (per 10,000)","Europe","Italy",79.01,"SDG3.c_1"
"SDG3.c_1.96","Medical doctors (per 10,000)","Americas","Cuba",79.54,"SDG3.c_1"
"SDG3.c_1.97","Medical doctors (per 10,000)","Eastern Mediterranean","Egypt",8.21,"SDG3.c_1"
"SDG3.c_1.98","Medical doctors (per 10,000)","Western Pacific","Viet Nam",8.28,"SDG3.c_1"
"SDG3.c_1.99","Medical doctors (per 10,000)","Eastern Mediterranean","Iraq",8.54,"SDG3.c_1"
"SDG3.c_1.100","Medical doctors (per 10,000)","South-East Asia","Sri Lanka",8.93,"SDG3.c_1"
"SDG3.c_1.101","Medical doctors (per 10,000)","Americas","Nicaragua",9.54,"SDG3.c_1"
"SDG3.c_1.102","Medical doctors (per 10,000)","Eastern Mediterranean","Pakistan",9.62,"SDG3.c_1"
"SDG3.c_2.1","Nursing and midwifery personnel (per 10,000)","Africa","Democratic Republic of the Congo",0.23,"SDG3.c_2"
"SDG3.c_2.2","Nursing and midwifery personnel (per 10,000)","Africa","Madagascar",0.64,"SDG3.c_2"
"SDG3.c_2.3","Nursing and midwifery personnel (per 10,000)","Africa","Guinea",1.24,"SDG3.c_2"
"SDG3.c_2.4","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","Afghanistan",1.48,"SDG3.c_2"
"SDG3.c_2.5","Nursing and midwifery personnel (per 10,000)","Americas","Guatemala",10.05,"SDG3.c_2"
"SDG3.c_2.6","Nursing and midwifery personnel (per 10,000)","South-East Asia","Myanmar",10.34,"SDG3.c_2"
"SDG3.c_2.7","Nursing and midwifery personnel (per 10,000)","Africa","Kenya",10.36,"SDG3.c_2"
"SDG3.c_2.8","Nursing and midwifery personnel (per 10,000)","Africa","Rwanda",10.59,"SDG3.c_2"
"SDG3.c_2.9","Nursing and midwifery personnel (per 10,000)","Europe","Denmark",103.2,"SDG3.c_2"
"SDG3.c_2.10","Nursing and midwifery personnel (per 10,000)","Europe","France",108.9,"SDG3.c_2"
"SDG3.c_2.11","Nursing and midwifery personnel (per 10,000)","Europe","Netherlands",109.3,"SDG3.c_2"
"SDG3.c_2.12","Nursing and midwifery personnel (per 10,000)","Americas","Bolivia (Plurinational State of)",11.18,"SDG3.c_2"
"SDG3.c_2.13","Nursing and midwifery personnel (per 10,000)","Africa","Cabo Verde",11.52,"SDG3.c_2"
"SDG3.c_2.14","Nursing and midwifery personnel (per 10,000)","Americas","Chile",112.4,"SDG3.c_2"
"SDG3.c_2.15","Nursing and midwifery personnel (per 10,000)","Europe","Ireland",117.1,"SDG3.c_2"
"SDG3.c_2.16","Nursing and midwifery personnel (per 10,000)","Europe","Sweden",117.6,"SDG3.c_2"
"SDG3.c_2.17","Nursing and midwifery personnel (per 10,000)","Western Pacific","Japan",119.5,"SDG3.c_2"
"SDG3.c_2.18","Nursing and midwifery personnel (per 10,000)","Americas","Dominican Republic",12.07,"SDG3.c_2"
"SDG3.c_2.19","Nursing and midwifery personnel (per 10,000)","Western Pacific","Lao People's Democratic Republic",12.63,"SDG3.c_2"
"SDG3.c_2.20","Nursing and midwifery personnel (per 10,000)","Western Pacific","New Zealand",121.3,"SDG3.c_2"
"SDG3.c_2.21","Nursing and midwifery personnel (per 10,000)","Europe","Luxembourg",121.6,"SDG3.c_2"
"SDG3.c_2.22","Nursing and midwifery personnel (per 10,000)","Western Pacific","Australia",124.1,"SDG3.c_2"
"SDG3.c_2.23","Nursing and midwifery personnel (per 10,000)","Europe","Germany",128.6,"SDG3.c_2"
"SDG3.c_2.24","Nursing and midwifery personnel (per 10,000)","Africa","South Africa",13.32,"SDG3.c_2"
"SDG3.c_2.25","Nursing and midwifery personnel (per 10,000)","Europe","Portugal",131.3,"SDG3.c_2"
"SDG3.c_2.26","Nursing and midwifery personnel (per 10,000)","Africa","Zimbabwe",14,"SDG3.c_2"
"SDG3.c_2.27","Nursing and midwifery personnel (per 10,000)","Africa","Eritrea",14.39,"SDG3.c_2"
"SDG3.c_2.28","Nursing and midwifery personnel (per 10,000)","Western Pacific","Viet Nam",14.46,"SDG3.c_2"
"SDG3.c_2.29","Nursing and midwifery personnel (per 10,000)","Americas","Nicaragua",14.66,"SDG3.c_2"
"SDG3.c_2.30","Nursing and midwifery personnel (per 10,000)","Europe","Finland",145.7,"SDG3.c_2"
"SDG3.c_2.31","Nursing and midwifery personnel (per 10,000)","South-East Asia","Bhutan",15.33,"SDG3.c_2"
"SDG3.c_2.32","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","Syrian Arab Republic",15.41,"SDG3.c_2"
"SDG3.c_2.33","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","Lebanon",15.72,"SDG3.c_2"
"SDG3.c_2.34","Nursing and midwifery personnel (per 10,000)","Europe","Iceland",151.6,"SDG3.c_2"
"SDG3.c_2.35","Nursing and midwifery personnel (per 10,000)","Americas","Jamaica",16.07,"SDG3.c_2"
"SDG3.c_2.36","Nursing and midwifery personnel (per 10,000)","Africa","Uganda",16.4,"SDG3.c_2"
"SDG3.c_2.37","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","Iraq",17.15,"SDG3.c_2"
"SDG3.c_2.38","Nursing and midwifery personnel (per 10,000)","Africa","Nigeria",17.55,"SDG3.c_2"
"SDG3.c_2.39","Nursing and midwifery personnel (per 10,000)","Europe","Switzerland",173.3,"SDG3.c_2"
"SDG3.c_2.40","Nursing and midwifery personnel (per 10,000)","Europe","Norway",174.3,"SDG3.c_2"
"SDG3.c_2.41","Nursing and midwifery personnel (per 10,000)","Americas","El Salvador",18.04,"SDG3.c_2"
"SDG3.c_2.42","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","Egypt",19.25,"SDG3.c_2"
"SDG3.c_2.43","Nursing and midwifery personnel (per 10,000)","South-East Asia","Sri Lanka",19.48,"SDG3.c_2"
"SDG3.c_2.44","Nursing and midwifery personnel (per 10,000)","Americas","Suriname",19.54,"SDG3.c_2"
"SDG3.c_2.45","Nursing and midwifery personnel (per 10,000)","Europe","Latvia",2.04,"SDG3.c_2"
"SDG3.c_2.46","Nursing and midwifery personnel (per 10,000)","Africa","Chad",2.13,"SDG3.c_2"
"SDG3.c_2.47","Nursing and midwifery personnel (per 10,000)","South-East Asia","Bangladesh",2.64,"SDG3.c_2"
"SDG3.c_2.48","Nursing and midwifery personnel (per 10,000)","Africa","Niger",2.7,"SDG3.c_2"
"SDG3.c_2.49","Nursing and midwifery personnel (per 10,000)","Africa","Malawi",2.99,"SDG3.c_2"
"SDG3.c_2.50","Nursing and midwifery personnel (per 10,000)","Africa","Namibia",20.42,"SDG3.c_2"
"SDG3.c_2.51","Nursing and midwifery personnel (per 10,000)","Africa","Ghana",21.16,"SDG3.c_2"
"SDG3.c_2.52","Nursing and midwifery personnel (per 10,000)","Americas","Belize",21.44,"SDG3.c_2"
"SDG3.c_2.53","Nursing and midwifery personnel (per 10,000)","Americas","Peru",21.76,"SDG3.c_2"
"SDG3.c_2.54","Nursing and midwifery personnel (per 10,000)","Africa","Algeria",22.43,"SDG3.c_2"
"SDG3.c_2.55","Nursing and midwifery personnel (per 10,000)","Western Pacific","China",24.67,"SDG3.c_2"
"SDG3.c_2.56","Nursing and midwifery personnel (per 10,000)","Americas","Mexico",25.1,"SDG3.c_2"
"SDG3.c_2.57","Nursing and midwifery personnel (per 10,000)","Africa","Gabon",25.44,"SDG3.c_2"
"SDG3.c_2.58","Nursing and midwifery personnel (per 10,000)","Europe","Turkey",25.73,"SDG3.c_2"
"SDG3.c_2.59","Nursing and midwifery personnel (per 10,000)","Americas","Argentina",25.82,"SDG3.c_2"
"SDG3.c_2.60","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","Tunisia",26.58,"SDG3.c_2"
"SDG3.c_2.61","Nursing and midwifery personnel (per 10,000)","South-East Asia","Thailand",27.72,"SDG3.c_2"
"SDG3.c_2.62","Nursing and midwifery personnel (per 10,000)","Americas","Ecuador",28.54,"SDG3.c_2"
"SDG3.c_2.63","Nursing and midwifery personnel (per 10,000)","Americas","Panama",29.86,"SDG3.c_2"
"SDG3.c_2.64","Nursing and midwifery personnel (per 10,000)","Africa","Senegal",3,"SDG3.c_2"
"SDG3.c_2.65","Nursing and midwifery personnel (per 10,000)","Africa","Togo",3.17,"SDG3.c_2"
"SDG3.c_2.66","Nursing and midwifery personnel (per 10,000)","Americas","Costa Rica",30.05,"SDG3.c_2"
"SDG3.c_2.67","Nursing and midwifery personnel (per 10,000)","South-East Asia","Maldives",30.52,"SDG3.c_2"
"SDG3.c_2.68","Nursing and midwifery personnel (per 10,000)","Africa","Mauritius",32.76,"SDG3.c_2"
"SDG3.c_2.69","Nursing and midwifery personnel (per 10,000)","Europe","Greece",35.53,"SDG3.c_2"
"SDG3.c_2.70","Nursing and midwifery personnel (per 10,000)","Europe","Albania",36.5,"SDG3.c_2"
"SDG3.c_2.71","Nursing and midwifery personnel (per 10,000)","Africa","Eswatini",37.7,"SDG3.c_2"
"SDG3.c_2.72","Nursing and midwifery personnel (per 10,000)","Africa","Mali",4.13,"SDG3.c_2"
"SDG3.c_2.73","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","Pakistan",4.87,"SDG3.c_2"
"SDG3.c_2.74","Nursing and midwifery personnel (per 10,000)","Europe","Georgia",40,"SDG3.c_2"
"SDG3.c_2.75","Nursing and midwifery personnel (per 10,000)","Western Pacific","Mongolia",40.66,"SDG3.c_2"
"SDG3.c_2.76","Nursing and midwifery personnel (per 10,000)","Africa","Botswana",41.15,"SDG3.c_2"
"SDG3.c_2.77","Nursing and midwifery personnel (per 10,000)","Western Pacific","Malaysia",41.96,"SDG3.c_2"
"SDG3.c_2.78","Nursing and midwifery personnel (per 10,000)","Americas","Trinidad and Tobago",42.64,"SDG3.c_2"
"SDG3.c_2.79","Nursing and midwifery personnel (per 10,000)","Europe","Bulgaria",43.31,"SDG3.c_2"
"SDG3.c_2.80","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","Oman",44.12,"SDG3.c_2"
"SDG3.c_2.81","Nursing and midwifery personnel (per 10,000)","Americas","Antigua and Barbuda",44.87,"SDG3.c_2"
"SDG3.c_2.82","Nursing and midwifery personnel (per 10,000)","Europe","Armenia",45.21,"SDG3.c_2"
"SDG3.c_2.83","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","Qatar",49.55,"SDG3.c_2"
"SDG3.c_2.84","Nursing and midwifery personnel (per 10,000)","Africa","Côte d’Ivoire",5.09,"SDG3.c_2"
"SDG3.c_2.85","Nursing and midwifery personnel (per 10,000)","Africa","Guinea-Bissau",5.94,"SDG3.c_2"
"SDG3.c_2.86","Nursing and midwifery personnel (per 10,000)","Europe","Cyprus",52.51,"SDG3.c_2"
"SDG3.c_2.87","Nursing and midwifery personnel (per 10,000)","Europe","Bosnia and Herzegovina",54.73,"SDG3.c_2"
"SDG3.c_2.88","Nursing and midwifery personnel (per 10,000)","Europe","Israel",55.06,"SDG3.c_2"
"SDG3.c_2.89","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","United Arab Emirates",55.31,"SDG3.c_2"
"SDG3.c_2.90","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","Saudi Arabia",56.71,"SDG3.c_2"
"SDG3.c_2.91","Nursing and midwifery personnel (per 10,000)","Europe","Spain",56.85,"SDG3.c_2"
"SDG3.c_2.92","Nursing and midwifery personnel (per 10,000)","Europe","Poland",57.58,"SDG3.c_2"
"SDG3.c_2.93","Nursing and midwifery personnel (per 10,000)","Europe","Italy",58.36,"SDG3.c_2"
"SDG3.c_2.94","Nursing and midwifery personnel (per 10,000)","Africa","Comoros",6.29,"SDG3.c_2"
"SDG3.c_2.95","Nursing and midwifery personnel (per 10,000)","Africa","Burkina Faso",6.59,"SDG3.c_2"
"SDG3.c_2.96","Nursing and midwifery personnel (per 10,000)","Africa","Mozambique",6.79,"SDG3.c_2"
"SDG3.c_2.97","Nursing and midwifery personnel (per 10,000)","Europe","Slovakia",60.67,"SDG3.c_2"
"SDG3.c_2.98","Nursing and midwifery personnel (per 10,000)","Europe","Serbia",60.86,"SDG3.c_2"
"SDG3.c_2.99","Nursing and midwifery personnel (per 10,000)","Europe","Romania",60.92,"SDG3.c_2"
"SDG3.c_2.100","Nursing and midwifery personnel (per 10,000)","Western Pacific","Singapore",61.68,"SDG3.c_2"
"SDG3.c_2.101","Nursing and midwifery personnel (per 10,000)","Europe","Estonia",64.33,"SDG3.c_2"
"SDG3.c_2.102","Nursing and midwifery personnel (per 10,000)","Western Pacific","Brunei Darussalam",64.72,"SDG3.c_2"
"SDG3.c_2.103","Nursing and midwifery personnel (per 10,000)","Europe","Hungary",66.43,"SDG3.c_2"
"SDG3.c_2.104","Nursing and midwifery personnel (per 10,000)","Americas","Dominica",66.9,"SDG3.c_2"
"SDG3.c_2.105","Nursing and midwifery personnel (per 10,000)","Americas","Paraguay",7.04,"SDG3.c_2"
"SDG3.c_2.106","Nursing and midwifery personnel (per 10,000)","Western Pacific","Cambodia",7.2,"SDG3.c_2"
"SDG3.c_2.107","Nursing and midwifery personnel (per 10,000)","Americas","Guyana",7.32,"SDG3.c_2"
"SDG3.c_2.108","Nursing and midwifery personnel (per 10,000)","Americas","Honduras",7.32,"SDG3.c_2"
"SDG3.c_2.109","Nursing and midwifery personnel (per 10,000)","Africa","Sierra Leone",7.47,"SDG3.c_2"
"SDG3.c_2.110","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","Yemen",7.49,"SDG3.c_2"
"SDG3.c_2.111","Nursing and midwifery personnel (per 10,000)","Africa","Benin",7.6,"SDG3.c_2"
"SDG3.c_2.112","Nursing and midwifery personnel (per 10,000)","Europe","Austria",70.18,"SDG3.c_2"
"SDG3.c_2.113","Nursing and midwifery personnel (per 10,000)","Western Pacific","Republic of Korea",70.23,"SDG3.c_2"
"SDG3.c_2.114","Nursing and midwifery personnel (per 10,000)","Western Pacific","Cook Islands",70.29,"SDG3.c_2"
"SDG3.c_2.115","Nursing and midwifery personnel (per 10,000)","Eastern Mediterranean","Kuwait",70.9,"SDG3.c_2"
"SDG3.c_2.116","Nursing and midwifery personnel (per 10,000)","Americas","Cuba",78.58,"SDG3.c_2"
"SDG3.c_2.117","Nursing and midwifery personnel (per 10,000)","Europe","Lithuania",79.67,"SDG3.c_2"
"SDG3.c_2.118","Nursing and midwifery personnel (per 10,000)","Africa","Seychelles",80.77,"SDG3.c_2"
"SDG3.c_2.119","Nursing and midwifery personnel (per 10,000)","Europe","Croatia",81.22,"SDG3.c_2"
"SDG3.c_2.120","Nursing and midwifery personnel (per 10,000)","Europe","United Kingdom of Great Britain and Northern Ireland",82.75,"SDG3.c_2"
"SDG3.c_2.121","Nursing and midwifery personnel (per 10,000)","Americas","Saint Vincent and the Grenadines",84.11,"SDG3.c_2"
"SDG3.c_2.122","Nursing and midwifery personnel (per 10,000)","Africa","Congo",9.31,"SDG3.c_2"
"SDG3.c_2.123","Nursing and midwifery personnel (per 10,000)","Americas","Brazil",93.51,"SDG3.c_2"
"SDG3.c_2.124","Nursing and midwifery personnel (per 10,000)","Europe","Slovenia",96.97,"SDG3.c_2"
"SDG3.c_2.125","Nursing and midwifery personnel (per 10,000)","Americas","Canada",99.19,"SDG3.c_2"
"SDG3.d_1.1","Average of 13 International Health Regulations core capacity scores","Western Pacific","Australia",100,"SDG3.d_1"
"SDG3.d_1.2","Average of 13 International Health Regulations core capacity scores","Americas","Canada",100,"SDG3.d_1"
"SDG3.d_1.3","Average of 13 International Health Regulations core capacity scores","Western Pacific","Japan",100,"SDG3.d_1"
"SDG3.d_1.4","Average of 13 International Health Regulations core capacity scores","Western Pacific","Malaysia",100,"SDG3.d_1"
"SDG3.d_1.5","Average of 13 International Health Regulations core capacity scores","Africa","Sao Tome and Principe",16,"SDG3.d_1"
"SDG3.d_1.6","Average of 13 International Health Regulations core capacity scores","Africa","Benin",28,"SDG3.d_1"
"SDG3.d_1.7","Average of 13 International Health Regulations core capacity scores","Africa","Central African Republic",29,"SDG3.d_1"
"SDG3.d_1.8","Average of 13 International Health Regulations core capacity scores","Africa","Chad",40,"SDG3.d_1"
"SDG3.d_1.9","Average of 13 International Health Regulations core capacity scores","Europe","Serbia",40,"SDG3.d_1"
"SDG3.d_1.10","Average of 13 International Health Regulations core capacity scores","Eastern Mediterranean","Afghanistan",42,"SDG3.d_1"
"SDG3.d_1.11","Average of 13 International Health Regulations core capacity scores","Europe","Andorra",42,"SDG3.d_1"
"SDG3.d_1.12","Average of 13 International Health Regulations core capacity scores","Africa","Congo",44,"SDG3.d_1"
"SDG3.d_1.13","Average of 13 International Health Regulations core capacity scores","Africa","Sierra Leone",47,"SDG3.d_1"
"SDG3.d_1.14","Average of 13 International Health Regulations core capacity scores","Africa","Eritrea",49,"SDG3.d_1"
"SDG3.d_1.15","Average of 13 International Health Regulations core capacity scores","Africa","Guinea-Bissau",49,"SDG3.d_1"
"SDG3.d_1.16","Average of 13 International Health Regulations core capacity scores","Africa","Gabon",52,"SDG3.d_1"
"SDG3.d_1.17","Average of 13 International Health Regulations core capacity scores","Eastern Mediterranean","Pakistan",53,"SDG3.d_1"
"SDG3.d_1.18","Average of 13 International Health Regulations core capacity scores","Africa","Cameroon",54,"SDG3.d_1"
"SDG3.d_1.19","Average of 13 International Health Regulations core capacity scores","Western Pacific","Cambodia",55,"SDG3.d_1"
"SDG3.d_1.20","Average of 13 International Health Regulations core capacity scores","Americas","Guatemala",55,"SDG3.d_1"
"SDG3.d_1.21","Average of 13 International Health Regulations core capacity scores","Eastern Mediterranean","Tunisia",55,"SDG3.d_1"
"SDG3.d_1.22","Average of 13 International Health Regulations core capacity scores","Western Pacific","Cook Islands",56,"SDG3.d_1"
"SDG3.d_1.23","Average of 13 International Health Regulations core capacity scores","Americas","Haiti",56,"SDG3.d_1"
"SDG3.d_1.24","Average of 13 International Health Regulations core capacity scores","Europe","Montenegro",56,"SDG3.d_1"
"SDG3.d_1.25","Average of 13 International Health Regulations core capacity scores","Europe","Bosnia and Herzegovina",57,"SDG3.d_1"
"SDG3.d_1.26","Average of 13 International Health Regulations core capacity scores","South-East Asia","Maldives",60,"SDG3.d_1"
"SDG3.d_1.27","Average of 13 International Health Regulations core capacity scores","Africa","Burundi",62,"SDG3.d_1"
"SDG3.d_1.28","Average of 13 International Health Regulations core capacity scores","Africa","Cabo Verde",62,"SDG3.d_1"
"SDG3.d_1.29","Average of 13 International Health Regulations core capacity scores","Americas","Dominica",62,"SDG3.d_1"
"SDG3.d_1.30","Average of 13 International Health Regulations core capacity scores","Eastern Mediterranean","Libya",64,"SDG3.d_1"
"SDG3.d_1.31","Average of 13 International Health Regulations core capacity scores","Americas","Saint Vincent and the Grenadines",65,"SDG3.d_1"
"SDG3.d_1.32","Average of 13 International Health Regulations core capacity scores","Americas","Grenada",66,"SDG3.d_1"
"SDG3.d_1.33","Average of 13 International Health Regulations core capacity scores","Africa","Nigeria",66,"SDG3.d_1"
"SDG3.d_1.34","Average of 13 International Health Regulations core capacity scores","South-East Asia","Timor-Leste",66,"SDG3.d_1"
"SDG3.d_1.35","Average of 13 International Health Regulations core capacity scores","Africa","Mauritius",70,"SDG3.d_1"
"SDG3.d_1.36","Average of 13 International Health Regulations core capacity scores","Americas","Peru",70,"SDG3.d_1"
"SDG3.d_1.37","Average of 13 International Health Regulations core capacity scores","Europe","Croatia",71,"SDG3.d_1"
"SDG3.d_1.38","Average of 13 International Health Regulations core capacity scores","Africa","Democratic Republic of the Congo",71,"SDG3.d_1"
"SDG3.d_1.39","Average of 13 International Health Regulations core capacity scores","Americas","Dominican Republic",71,"SDG3.d_1"
"SDG3.d_1.40","Average of 13 International Health Regulations core capacity scores","Europe","Estonia",71,"SDG3.d_1"
"SDG3.d_1.41","Average of 13 International Health Regulations core capacity scores","Europe","Israel",71,"SDG3.d_1"
"SDG3.d_1.42","Average of 13 International Health Regulations core capacity scores","Americas","Panama",71,"SDG3.d_1"
"SDG3.d_1.43","Average of 13 International Health Regulations core capacity scores","Europe","Iceland",72,"SDG3.d_1"
"SDG3.d_1.44","Average of 13 International Health Regulations core capacity scores","South-East Asia","Nepal",72,"SDG3.d_1"
"SDG3.d_1.45","Average of 13 International Health Regulations core capacity scores","Americas","Suriname",72,"SDG3.d_1"
"SDG3.d_1.46","Average of 13 International Health Regulations core capacity scores","Africa","Algeria",73,"SDG3.d_1"
"SDG3.d_1.47","Average of 13 International Health Regulations core capacity scores","South-East Asia","Democratic People's Republic of Korea",73,"SDG3.d_1"
"SDG3.d_1.48","Average of 13 International Health Regulations core capacity scores","Americas","Trinidad and Tobago",73,"SDG3.d_1"
"SDG3.d_1.49","Average of 13 International Health Regulations core capacity scores","Africa","Zimbabwe",73,"SDG3.d_1"
"SDG3.d_1.50","Average of 13 International Health Regulations core capacity scores","Africa","Ghana",74,"SDG3.d_1"
"SDG3.d_1.51","Average of 13 International Health Regulations core capacity scores","Africa","Lesotho",74,"SDG3.d_1"
"SDG3.d_1.52","Average of 13 International Health Regulations core capacity scores","Europe","Poland",74,"SDG3.d_1"
"SDG3.d_1.53","Average of 13 International Health Regulations core capacity scores","Europe","Slovenia",74,"SDG3.d_1"
"SDG3.d_1.54","Average of 13 International Health Regulations core capacity scores","Americas","Bahamas",75,"SDG3.d_1"
"SDG3.d_1.55","Average of 13 International Health Regulations core capacity scores","Western Pacific","Lao People's Democratic Republic",75,"SDG3.d_1"
"SDG3.d_1.56","Average of 13 International Health Regulations core capacity scores","Africa","Niger",75,"SDG3.d_1"
"SDG3.d_1.57","Average of 13 International Health Regulations core capacity scores","Americas","Argentina",76,"SDG3.d_1"
"SDG3.d_1.58","Average of 13 International Health Regulations core capacity scores","South-East Asia","Bangladesh",76,"SDG3.d_1"
"SDG3.d_1.59","Average of 13 International Health Regulations core capacity scores","South-East Asia","Bhutan",76,"SDG3.d_1"
"SDG3.d_1.60","Average of 13 International Health Regulations core capacity scores","Americas","Bolivia (Plurinational State of)",77,"SDG3.d_1"
"SDG3.d_1.61","Average of 13 International Health Regulations core capacity scores","Europe","Romania",77,"SDG3.d_1"
"SDG3.d_1.62","Average of 13 International Health Regulations core capacity scores","Americas","Saint Lucia",77,"SDG3.d_1"
"SDG3.d_1.63","Average of 13 International Health Regulations core capacity scores","Africa","Côte d’Ivoire",78,"SDG3.d_1"
"SDG3.d_1.64","Average of 13 International Health Regulations core capacity scores","Eastern Mediterranean","Jordan",78,"SDG3.d_1"
"SDG3.d_1.65","Average of 13 International Health Regulations core capacity scores","Americas","Chile",79,"SDG3.d_1"
"SDG3.d_1.66","Average of 13 International Health Regulations core capacity scores","Africa","Ethiopia",79,"SDG3.d_1"
"SDG3.d_1.67","Average of 13 International Health Regulations core capacity scores","Europe","Monaco",79,"SDG3.d_1"
"SDG3.d_1.68","Average of 13 International Health Regulations core capacity scores","Americas","Paraguay",79,"SDG3.d_1"
"SDG3.d_1.69","Average of 13 International Health Regulations core capacity scores","South-East Asia","Sri Lanka",79,"SDG3.d_1"
"SDG3.d_1.70","Average of 13 International Health Regulations core capacity scores","Americas","Antigua and Barbuda",81,"SDG3.d_1"
"SDG3.d_1.71","Average of 13 International Health Regulations core capacity scores","Americas","Ecuador",81,"SDG3.d_1"
"SDG3.d_1.72","Average of 13 International Health Regulations core capacity scores","Africa","Namibia",81,"SDG3.d_1"
"SDG3.d_1.73","Average of 13 International Health Regulations core capacity scores","Europe","Republic of Moldova",81,"SDG3.d_1"
"SDG3.d_1.74","Average of 13 International Health Regulations core capacity scores","Europe","Belgium",82,"SDG3.d_1"
"SDG3.d_1.75","Average of 13 International Health Regulations core capacity scores","Europe","Georgia",82,"SDG3.d_1"
"SDG3.d_1.76","Average of 13 International Health Regulations core capacity scores","Europe","Lithuania",82,"SDG3.d_1"
"SDG3.d_1.77","Average of 13 International Health Regulations core capacity scores","Americas","Uruguay",82,"SDG3.d_1"
"SDG3.d_1.78","Average of 13 International Health Regulations core capacity scores","Americas","Honduras",83,"SDG3.d_1"
"SDG3.d_1.79","Average of 13 International Health Regulations core capacity scores","Americas","Jamaica",83,"SDG3.d_1"
"SDG3.d_1.80","Average of 13 International Health Regulations core capacity scores","Americas","Barbados",84,"SDG3.d_1"
"SDG3.d_1.81","Average of 13 International Health Regulations core capacity scores","South-East Asia","Myanmar",84,"SDG3.d_1"
"SDG3.d_1.82","Average of 13 International Health Regulations core capacity scores","Europe","Hungary",85,"SDG3.d_1"
"SDG3.d_1.83","Average of 13 International Health Regulations core capacity scores","Eastern Mediterranean","Kuwait",85,"SDG3.d_1"
"SDG3.d_1.84","Average of 13 International Health Regulations core capacity scores","Europe","Malta",85,"SDG3.d_1"
"SDG3.d_1.85","Average of 13 International Health Regulations core capacity scores","Americas","Costa Rica",86,"SDG3.d_1"
"SDG3.d_1.86","Average of 13 International Health Regulations core capacity scores","Western Pacific","Micronesia (Federated States of)",86,"SDG3.d_1"
"SDG3.d_1.87","Average of 13 International Health Regulations core capacity scores","Europe","Austria",87,"SDG3.d_1"
"SDG3.d_1.88","Average of 13 International Health Regulations core capacity scores","Western Pacific","Philippines",87,"SDG3.d_1"
"SDG3.d_1.89","Average of 13 International Health Regulations core capacity scores","Europe","Luxembourg",88,"SDG3.d_1"
"SDG3.d_1.90","Average of 13 International Health Regulations core capacity scores","Americas","Nicaragua",88,"SDG3.d_1"
"SDG3.d_1.91","Average of 13 International Health Regulations core capacity scores","Africa","Seychelles",88,"SDG3.d_1"
